method,dataset,subset,image,num_faces_detected,false_positives,not_found,detection_time,accuracy
FaceNet,seccam,train,49ceec8d-83ac-11ee-90e4-9cfeff47d2fa.jpg,1,0,0,11.83149003982544,1.0
FaceNet,seccam,train,4a487da2-83ac-11ee-bcf1-9cfeff47d2fa.jpg,1,0,0,12.441003799438477,1.0
FaceNet,seccam,train,4a860d1b-83ac-11ee-a56c-9cfeff47d2fa.jpg,0,0,1,12.152243614196777,0.0
FaceNet,seccam,train,4b3d3fac-83ac-11ee-9e01-9cfeff47d2fa.jpg,0,0,1,12.158058643341064,0.0
FaceNet,seccam,train,4b79b37b-83ac-11ee-842c-9cfeff47d2fa.jpg,0,0,1,12.073497295379639,0.0
FaceNet,seccam,train,4bb6abdf-83ac-11ee-a54b-9cfeff47d2fa.jpg,1,0,0,11.994685649871826,1.0
FaceNet,seccam,train,4bf429da-83ac-11ee-bcd6-9cfeff47d2fa.jpg,1,0,0,1.3425848484039307,1.0
FaceNet,seccam,val,45c0a15d-83ac-11ee-a84e-9cfeff47d2fa.jpg,0,0,1,2.971745014190674,0.0
FaceNet,seccam,val,472f2539-83ac-11ee-9ed0-9cfeff47d2fa.jpg,1,0,0,2.955293893814087,1.0
FaceNet,seccam,val,47e60922-83ac-11ee-8188-9cfeff47d2fa.jpg,2,1,0,2.957059383392334,1.0
FaceNet,seccam,val,4affc784-83ac-11ee-9909-9cfeff47d2fa.jpg,0,0,1,2.9694297313690186,0.0
Face Recognition,seccam,test,4598b7e9-83ac-11ee-b027-9cfeff47d2fa.jpg,0,0,1,0.10425400733947754,0.0
Face Recognition,seccam,test,46f2719c-83ac-11ee-a728-9cfeff47d2fa.jpg,0,0,1,0.0990288257598877,0.0
Face Recognition,seccam,test,4860544a-83ac-11ee-b85c-9cfeff47d2fa.jpg,0,0,1,0.11042952537536621,0.0
Face Recognition,seccam,test,4a0be73b-83ac-11ee-b293-9cfeff47d2fa.jpg,0,0,1,0.10477328300476074,0.0
Face Recognition,seccam,test,4ac2bd8b-83ac-11ee-94e3-9cfeff47d2fa.jpg,0,0,1,0.1116330623626709,0.0
Face Recognition,seccam,train,45743621-83ac-11ee-9222-9cfeff47d2fa.jpg,0,0,1,0.2430403232574463,0.0
Face Recognition,seccam,train,45fe4272-83ac-11ee-974f-9cfeff47d2fa.jpg,0,0,1,0.24672746658325195,0.0
Face Recognition,seccam,train,463b6955-83ac-11ee-9b8f-9cfeff47d2fa.jpg,0,0,1,0.176863431930542,0.0
Face Recognition,seccam,train,467ae200-83ac-11ee-903f-9cfeff47d2fa.jpg,0,0,1,0.19449472427368164,0.0
Face Recognition,seccam,train,46b563de-83ac-11ee-8c6a-9cfeff47d2fa.jpg,0,0,1,0.1458439826965332,0.0
Face Recognition,seccam,train,476c87ed-83ac-11ee-a88d-9cfeff47d2fa.jpg,0,0,1,0.15310907363891602,0.0
Face Recognition,seccam,train,47a94336-83ac-11ee-8a48-9cfeff47d2fa.jpg,0,0,1,0.38956260681152344,0.0
Face Recognition,seccam,train,47e60921-83ac-11ee-8188-9cfeff47d2fa.jpg,0,0,1,0.29951977729797363,0.0
Face Recognition,seccam,train,482399c5-83ac-11ee-b18d-9cfeff47d2fa.jpg,0,0,1,0.3071432113647461,0.0
Face Recognition,seccam,train,489d1547-83ac-11ee-b751-9cfeff47d2fa.jpg,0,0,1,0.2633545398712158,0.0
Face Recognition,seccam,train,48da29b8-83ac-11ee-9494-9cfeff47d2fa.jpg,0,0,1,0.3032259941101074,0.0
Face Recognition,seccam,train,49175421-83ac-11ee-8e37-9cfeff47d2fa.jpg,0,0,1,0.31613802909851074,0.0
Face Recognition,seccam,train,4954300a-83ac-11ee-a1c8-9cfeff47d2fa.jpg,0,0,1,0.15498685836791992,0.0
Face Recognition,seccam,train,4991b5d6-83ac-11ee-8469-9cfeff47d2fa.jpg,0,0,1,0.2371962070465088,0.0
Face Recognition,seccam,train,49ceec8d-83ac-11ee-90e4-9cfeff47d2fa.jpg,0,0,1,0.29410815238952637,0.0
Face Recognition,seccam,train,4a487da2-83ac-11ee-bcf1-9cfeff47d2fa.jpg,0,0,1,0.20393681526184082,0.0
Face Recognition,seccam,train,4a860d1b-83ac-11ee-a56c-9cfeff47d2fa.jpg,0,0,1,0.2046499252319336,0.0
Face Recognition,seccam,train,4b3d3fac-83ac-11ee-9e01-9cfeff47d2fa.jpg,0,0,1,0.26087164878845215,0.0
Face Recognition,seccam,train,4b79b37b-83ac-11ee-842c-9cfeff47d2fa.jpg,0,0,1,0.17484307289123535,0.0
Face Recognition,seccam,train,4bb6abdf-83ac-11ee-a54b-9cfeff47d2fa.jpg,0,0,1,0.11730217933654785,0.0
Face Recognition,seccam,train,4bf429da-83ac-11ee-bcd6-9cfeff47d2fa.jpg,0,0,1,0.16660833358764648,0.0
Face Recognition,seccam,val,45c0a15d-83ac-11ee-a84e-9cfeff47d2fa.jpg,0,0,1,0.08568286895751953,0.0
Face Recognition,seccam,val,472f2539-83ac-11ee-9ed0-9cfeff47d2fa.jpg,0,0,1,0.09383845329284668,0.0
Face Recognition,seccam,val,47e60922-83ac-11ee-8188-9cfeff47d2fa.jpg,0,0,1,0.0872812271118164,0.0
Face Recognition,seccam,val,4affc784-83ac-11ee-9909-9cfeff47d2fa.jpg,0,0,1,0.09176778793334961,0.0
Haar Cascade,webcam,test,f47812f7-8335-11ee-8266-9cfeff47d2fa.jpg,0,0,1,0.05524873733520508,0.0
Haar Cascade,webcam,test,f6002dd6-8335-11ee-b9ec-9cfeff47d2fa.jpg,0,0,1,0.22750473022460938,0.0
Haar Cascade,webcam,test,f69e6a64-8335-11ee-9c58-9cfeff47d2fa.jpg,0,0,1,0.22363519668579102,0.0
Haar Cascade,webcam,test,f7d8de00-8335-11ee-b6bf-9cfeff47d2fa.jpg,0,0,1,0.22122883796691895,0.0
Haar Cascade,webcam,test,f9134bf5-8335-11ee-b735-9cfeff47d2fa.jpg,0,0,1,0.23613333702087402,0.0
Haar Cascade,webcam,train,f3d9f09a-8335-11ee-9a89-9cfeff47d2fa.jpg,0,0,1,0.0621190071105957,0.0
Haar Cascade,webcam,train,f429962b-8335-11ee-a62b-9cfeff47d2fa.jpg,1,1,1,0.7160394191741943,0.0
Haar Cascade,webcam,train,f4c656f6-8335-11ee-af95-9cfeff47d2fa.jpg,1,1,1,0.5638105869293213,0.0
Haar Cascade,webcam,train,f5627bbe-8335-11ee-b71c-9cfeff47d2fa.jpg,1,1,1,0.5763120651245117,0.0
Haar Cascade,webcam,train,f5b06725-8335-11ee-8d05-9cfeff47d2fa.jpg,1,1,1,0.5547802448272705,0.0
Haar Cascade,webcam,train,f6501105-8335-11ee-b53a-9cfeff47d2fa.jpg,1,1,1,0.5690212249755859,0.0
Haar Cascade,webcam,train,f6ec124d-8335-11ee-aa67-9cfeff47d2fa.jpg,1,1,1,0.5576715469360352,0.0
Haar Cascade,webcam,train,f73c51d3-8335-11ee-9934-9cfeff47d2fa.jpg,1,1,1,0.5363655090332031,0.0
Haar Cascade,webcam,train,f78a7d1d-8335-11ee-b9c8-9cfeff47d2fa.jpg,1,1,1,0.6777093410491943,0.0
Haar Cascade,webcam,train,f826b619-8335-11ee-ba0b-9cfeff47d2fa.jpg,1,1,1,0.6812307834625244,0.0
Haar Cascade,webcam,train,f8c53c90-8335-11ee-9f1c-9cfeff47d2fa.jpg,1,1,1,0.6697633266448975,0.0
Haar Cascade,webcam,train,f96353c8-8335-11ee-9289-9cfeff47d2fa.jpg,0,0,1,0.5775802135467529,0.0
Haar Cascade,webcam,train,fa00ffc5-8335-11ee-b02e-9cfeff47d2fa.jpg,0,0,1,0.6041975021362305,0.0
Haar Cascade,webcam,train,fa51943f-8335-11ee-8eed-9cfeff47d2fa.jpg,0,0,1,0.13976812362670898,0.0
Haar Cascade,webcam,train,faf2e6a3-8335-11ee-932a-9cfeff47d2fa.jpg,0,0,1,0.5120289325714111,0.0
Haar Cascade,webcam,train,fb42e89d-8335-11ee-819a-9cfeff47d2fa.jpg,0,0,1,0.5047955513000488,0.0
Haar Cascade,webcam,train,fb935431-8335-11ee-94da-9cfeff47d2fa.jpg,1,0,0,0.15776729583740234,1.0
Haar Cascade,webcam,train,fbe21232-8335-11ee-9efb-9cfeff47d2fa.jpg,1,1,1,0.45203137397766113,0.0
Haar Cascade,webcam,train,fc3278a3-8335-11ee-8393-9cfeff47d2fa.jpg,1,1,1,0.3757946491241455,0.0
Haar Cascade,webcam,train,fc84be21-8335-11ee-b45a-9cfeff47d2fa.jpg,0,0,1,0.17714238166809082,0.0
Haar Cascade,webcam,train,fcd4c992-8335-11ee-8b82-9cfeff47d2fa.jpg,1,1,1,0.08341741561889648,0.0
Haar Cascade,webcam,val,f5148e3a-8335-11ee-b233-9cfeff47d2fa.jpg,1,1,1,0.2679281234741211,0.0
Haar Cascade,webcam,val,f875155f-8335-11ee-9c28-9cfeff47d2fa.jpg,1,1,1,0.05729842185974121,0.0
